#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
21.1% 1275000 -75779.44071714395 14321.720733031685 -61457.719984112264 296.72782766040604 776 17:42
21.2% 1280000 -76386.41244960803 14383.08707561868 -62003.325373989355 297.99926018354586 776 17:41
21.2% 1285000 -76795.48067928938 14615.433421830003 -62180.04725745937 302.8131807913613 776 17:40
21.3% 1290000 -76342.69757030107 14854.359023016656 -61488.33854728441 307.76341518945685 776 17:39
21.4% 1295000 -76597.78099518723 14675.196433559857 -61922.58456162737 304.0513943395519 776 17:38
21.5% 1300000 -76399.533241856 14358.448865828987 -62041.084376027015 297.48878783147194 776 17:37
21.6% 1305000 -76356.42320669306 14588.29419463514 -61768.129012057914 302.25089054146554 776 17:36
21.7% 1310000 -76023.50543239748 14182.131073149443 -61841.37435924803 293.8357075504823 776 17:35
21.7% 1315000 -76357.14255685578 14436.680100800024 -61920.46245605575 299.109639462422 776 17:34
21.8% 1320000 -76525.97901156236 14372.656976540708 -62153.32203502166 297.7831618040717 776 17:33
21.9% 1325000 -76394.5201029735 14534.941740461754 -61859.57836251175 301.1454955877218 776 17:32
22.0% 1330000 -76626.38209282634 14734.526512893803 -61891.85557993254 305.2806380794524 776 17:31
22.1% 1335000 -76402.85782053946 14381.886438026375 -62020.97138251308 297.97438450057365 776 17:30
22.1% 1340000 -76546.00930617526 14275.724341047513 -62270.28496512774 295.7748409538435 776 17:29
22.2% 1345000 -76068.79498875966 14414.298534160667 -61654.49645459899 298.6459218846023 776 17:28
22.3% 1350000 -76453.11166964962 14412.198072139701 -62040.91359750992 298.60240298459144 776 17:27
22.4% 1355000 -76831.2082070077 14147.029875484262 -62684.178331523435 293.1084554049042 776 17:26
22.5% 1360000 -76268.50643103052 14671.804386732218 -61596.7020442983 303.9811154460272 776 17:25
22.6% 1365000 -76220.77987094742 14419.568414699537 -61801.21145624788 298.7551071028786 775 17:23
22.6% 1370000 -76249.78243239009 14870.102191232616 -61379.68024115747 308.08959360001893 775 17:22
22.7% 1375000 -76712.04372311066 14345.339805140886 -62366.703917969775 297.2171847767023 775 17:21
22.8% 1380000 -76467.62442625615 14285.964578667674 -62181.65984758848 295.98700564553087 775 17:20
22.9% 1385000 -76348.7854385773 14559.343566476395 -61789.4418721009 301.6510703688004 775 17:19
