#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
18.2% 1100000 -76448.48162964018 14701.072458960025 -61747.409170680156 304.66623778186346 708 20:08
18.3% 1105000 -76333.09012400472 14593.175832846642 -61739.914291158086 302.430179205927 709 20:06
18.3% 1110000 -76448.33320966805 14564.31759769515 -61884.01561197291 301.83211876120953 709 20:03
18.4% 1115000 -76286.01333286139 14444.202591180534 -61841.810741680856 299.3428454624001 710 20:01
18.5% 1120000 -76240.18565652169 14047.181645773344 -62193.004010748344 291.11495065435264 710 19:59
18.6% 1125000 -76634.06558270867 14384.159441572943 -62249.90614113573 298.09850627921566 711 19:57
18.7% 1130000 -76031.69753359897 14231.063114056682 -61800.634419542286 294.9257253645708 711 19:55
18.8% 1135000 -76422.88882770058 14306.612211489424 -62116.27661621115 296.4914110889902 712 19:53
18.8% 1140000 -76441.23281910716 14358.44950453029 -62082.78331457687 297.56569142409126 712 19:51
18.9% 1145000 -76628.00925456182 14477.427682753072 -62150.581571808754 300.0314049996462 713 19:49
19.0% 1150000 -76673.67134417786 14332.786292561392 -62340.88505161647 297.033844903248 713 19:47
19.1% 1155000 -76468.77873458462 14961.351036271759 -61507.42769831286 310.0602724787302 713 19:46
19.2% 1160000 -76567.095012173 14588.996103892036 -61978.09890828096 302.3435581584421 712 19:46
19.3% 1165000 -76736.10183262061 14397.80099468921 -62338.3008379314 298.38121495077934 712 19:45
19.3% 1170000 -76488.25444810948 14103.350725648408 -62384.90372246107 292.2790032969729 712 19:44
19.4% 1175000 -76454.07749152227 14274.847329167274 -62179.230162355 295.83311304864725 711 19:44
19.5% 1180000 -76876.48453658755 14546.634714118632 -62329.84982246892 301.4656572239692 711 19:43
19.6% 1185000 -75995.2871558547 14582.632156301028 -61412.65499955368 302.21167118384164 711 19:42
19.7% 1190000 -76212.4274668053 14362.234636768548 -61850.19283003675 297.6441348166911 711 19:41
19.8% 1195000 -76816.42834192858 14394.92851715947 -62421.49982476911 298.3216854896096 711 19:40
19.8% 1200000 -76385.92758298115 14784.88913083641 -61601.03845214474 306.4032614007363 711 19:39
